0.000	20.000	1.571	0.000	-0.922	-0.981	-6.030	-6.030
0.011	19.992	1.571	-0.000	-0.922	-0.981	-6.030	-6.030
0.119	19.908	1.569	-0.002	-0.922	-0.981	-6.030	-6.030
0.228	19.825	1.568	-0.003	-0.922	-0.981	-6.030	-6.030
0.337	19.742	1.566	-0.005	-0.922	-0.981	-6.030	-6.030
0.445	19.659	1.565	-0.006	-0.922	-0.981	-6.030	-6.030
0.554	19.576	1.563	-0.008	-0.922	-0.981	-6.030	-6.030
0.663	19.493	1.561	-0.009	-0.922	-0.980	-6.030	-6.030
0.772	19.410	1.560	-0.011	-0.922	-0.980	-6.030	-6.030
0.881	19.327	1.558	-0.013	-0.922	-0.980	-6.030	-6.030
0.990	19.244	1.557	-0.014	-0.922	-0.980	-6.030	-6.030
1.100	19.161	1.555	-0.016	-0.922	-0.980	-6.029	-6.030
1.209	19.079	1.553	-0.018	-0.922	-0.980	-6.029	-6.030
1.318	18.996	1.552	-0.019	-0.922	-0.979	-6.029	-6.030
1.428	18.914	1.550	-0.021	-0.922	-0.979	-6.029	-6.030
1.538	18.832	1.548	-0.023	-0.922	-0.979	-6.029	-6.030
1.647	18.749	1.547	-0.024	-0.922	-0.979	-6.028	-6.030
1.757	18.667	1.545	-0.026	-0.922	-0.979	-6.028	-6.030
1.867	18.585	1.543	-0.028	-0.922	-0.979	-6.028	-6.030
1.977	18.503	1.541	-0.030	-0.922	-0.978	-6.028	-6.030
2.087	18.421	1.540	-0.031	-0.922	-0.978	-6.027	-6.030
2.197	18.339	1.538	-0.033	-0.922	-0.978	-6.027	-6.030
2.308	18.257	1.536	-0.035	-0.922	-0.978	-6.027	-6.030
2.418	18.176	1.534	-0.037	-0.922	-0.978	-6.026	-6.030
2.528	18.094	1.532	-0.039	-0.922	-0.977	-6.026	-6.030
2.639	18.013	1.530	-0.040	-0.922	-0.977	-6.025	-6.030
2.750	17.931	1.529	-0.042	-0.922	-0.977	-6.025	-6.030
