13.359	100.005	1.571	0.154	-0.218	1.769	0.000	1.878
13.150	100.006	1.571	0.151	-0.218	1.797	0.000	1.871
12.942	100.001	1.571	0.148	-0.218	1.826	0.000	1.863
12.735	100.009	1.571	0.145	-0.218	1.855	0.000	1.854
12.529	100.010	1.571	0.141	-0.218	1.886	0.000	1.845
12.322	100.005	1.571	0.138	-0.218	1.917	0.000	1.836
12.118	100.012	1.571	0.135	-0.218	1.950	0.000	1.826
11.914	100.011	1.571	0.132	-0.218	1.983	0.000	1.815
11.709	100.001	1.571	0.129	-0.218	2.018	0.000	1.805
11.508	100.002	1.571	0.126	-0.218	2.053	0.000	1.793
11.308	100.013	1.571	0.123	-0.218	2.089	0.000	1.781
11.108	100.013	1.571	0.120	-0.218	2.127	0.000	1.768
10.909	100.001	1.571	0.117	-0.218	2.165	0.000	1.754
10.714	100.019	1.571	0.114	-0.218	2.205	0.000	1.740
10.517	100.001	1.571	0.111	-0.218	2.246	0.000	1.725
10.324	100.011	1.571	0.108	-0.218	2.288	0.000	1.709
10.132	100.005	1.571	0.105	-0.218	2.331	0.000	1.692
9.941	100.004	1.571	0.102	-0.218	2.376	0.000	1.674
9.753	100.006	1.571	0.099	-0.218	2.422	0.000	1.655
9.568	100.010	1.571	0.096	-0.218	2.469	0.000	1.635
9.384	100.016	1.571	0.093	-0.218	2.517	0.000	1.613
9.203	100.021	1.571	0.089	-0.218	2.567	0.000	1.591
9.025	100.025	1.571	0.086	-0.218	2.618	0.000	1.566
8.848	100.023	1.571	0.083	-0.218	2.670	0.000	1.541
8.674	100.015	1.571	0.080	-0.218	2.723	0.000	1.514
8.505	100.026	1.571	0.077	-0.218	2.778	0.000	1.485
8.338	100.024	1.571	0.074	-0.218	2.833	0.000	1.454
8.173	100.009	1.571	0.071	-0.218	2.890	0.000	1.422
8.013	100.004	1.571	0.068	-0.218	2.947	0.000	1.387
7.858	100.008	1.571	0.065	-0.218	3.006	0.000	1.351
7.707	100.017	1.571	0.062	-0.218	3.065	0.000	1.312
7.561	100.028	1.571	0.059	-0.218	3.124	0.000	1.271
7.417	100.007	1.571	0.056	-0.218	3.184	0.000	1.227
7.280	100.011	1.571	0.053	-0.218	3.244	0.000	1.181
7.148	100.005	1.571	0.049	-0.218	3.304	0.000	1.132
7.023	100.017	1.571	0.046	-0.218	3.363	0.000	1.080
6.902	100.010	1.571	0.043	-0.218	3.422	0.000	1.026
6.788	100.012	1.571	0.040	-0.218	3.479	0.000	0.969
6.681	100.018	1.571	0.037	-0.218	3.535	0.000	0.909
6.582	100.024	1.571	0.034	-0.218	3.589	0.000	0.846
6.489	100.024	1.571	0.031	-0.218	3.640	0.000	0.780
6.403	100.014	1.571	0.028	-0.218	3.689	0.000	0.711
